"rater","selected","weight"
"S31","S28","1.0"
"S3","S28","1.0"
"S17","S28","1.0"
"S30","S28","1.0"
"S4","S29","5.0"
"S22","S29","1.0"
"S31","S29","1.0"
"S3","S29","1.0"
"S17","S29","1.0"
"S30","S29","1.0"
"S22","S30","3.0"
"S11","S30","1.0"
"S31","S30","4.0"
"S3","S30","1.0"
"S17","S30","1.0"
"S19","S30","1.0"
"S22","S31","1.0"
"S20","S31","1.0"
"S3","S31","1.0"
"S17","S31","1.0"
"S30","S31","3.0"
"S5","S31","5.0"
"S16","S31","4.0"
"S22","S32","1.0"
"S31","S32","1.0"
"S3","S32","1.0"
"S17","S32","1.0"
"S30","S32","1.0"
"S23","S32","1.0"
"S4","S33","2.0"
"S22","S33","1.0"
"S26","S33","3.0"
"S31","S33","1.0"
"S3","S33","1.0"
"S17","S33","1.0"
"S30","S33","1.0"
"S2","S33","2.0"
"S4","S34","3.0"
"S22","S34","1.0"
"S31","S34","1.0"
"S3","S34","1.0"
"S17","S34","1.0"
"S30","S34","1.0"
"S5","S34","2.0"
"S22","S35","1.0"
"S20","S35","1.0"
"S31","S35","1.0"
"S3","S35","1.0"
"S17","S35","1.0"
"S30","S35","1.0"
"S18","S35","2.0"
"S22","S36","1.0"
"S31","S36","1.0"
"S21","S36","5.0"
"S3","S36","1.0"
"S17","S36","1.0"
"S30","S36","1.0"
"S22","S37","1.0"
"S31","S37","1.0"
"S3","S37","2.0"
"S17","S37","1.0"
"S9","S37","3.0"
"S30","S37","1.0"
